Gene_ID,Gene_Name,Transcript_A_file1,Transcript_B_file1,COEX_Score_file1,P_Value_file1,Enriched_Cell_Types_A_file1,Enriched_Cell_Types_B_file1,Max_Contrast_A_file1,Max_Contrast_B_file1,Tr_min_file1,Tr_max_file1,DTU_ID,Transcript_A_file2,Transcript_B_file2,COEX_Score_file2,P_Value_file2,Enriched_Cell_Types_A_file2,Enriched_Cell_Types_B_file2,Max_Contrast_A_file2,Max_Contrast_B_file2,Tr_min_file2,Tr_max_file2,COEX_Diff
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000246700,-0.0406131893396378,0.00950850813929751,02; 04; 05; 06,11; 12,0.327867444111477,0.291512254657079,ENSMUST00000129245,ENSMUST00000246700,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000246700,ENSMUST00000129245,ENSMUST00000246700,-0.0406131893396378,0.00950850813929751,-1; 02; 03; 04; 05; 06,09; 11; 12,0.440832372098772,0.171603740520057,ENSMUST00000129245,ENSMUST00000246700,0
ENSMUSG00000021268,Meg3,ENSMUST00000245180,ENSMUST00000246047,-0.0405287593603134,0.0096586104879949,11; 12,02; 04; 05; 06,0.29299554968082703,0.365237582654575,ENSMUST00000245180,ENSMUST00000246047,ENSMUSG00000021268___ENSMUST00000245180___ENSMUST00000246047,ENSMUST00000245180,ENSMUST00000246047,-0.0405287593603134,0.0096586104879949,09; 11; 12,-1; 02; 03; 04; 05; 06,0.169760478069049,0.445009503450904,ENSMUST00000245180,ENSMUST00000246047,0
ENSMUSG00000021268,Meg3,ENSMUST00000246047,ENSMUST00000246499,-0.0404575392603874,0.00978686650935778,02; 04; 05; 06,11; 12,0.364717047378952,0.289390580009264,ENSMUST00000246047,ENSMUST00000246499,ENSMUSG00000021268___ENSMUST00000246047___ENSMUST00000246499,ENSMUST00000246047,ENSMUST00000246499,-0.0404575392603874,0.00978686650935778,-1; 02; 03; 04; 05; 06,09; 11; 12,0.444776793625042,0.168490077354118,ENSMUST00000246047,ENSMUST00000246499,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000143836,-0.0404360145330429,0.0098259266508486,02; 04; 05; 06,11; 12,0.327199914174505,0.286139511984636,ENSMUST00000129245,ENSMUST00000143836,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000143836,ENSMUST00000129245,ENSMUST00000143836,-0.0404360145330429,0.0098259266508486,-1; 02; 03; 04; 05; 06,09; 11; 12,0.440535319515587,0.165995217754526,ENSMUST00000129245,ENSMUST00000143836,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000245980,-0.0401460155844688,0.0103658856369417,02; 04; 05; 06,11; 12,0.329077769107367,0.286337425450807,ENSMUST00000129245,ENSMUST00000245980,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000245980,ENSMUST00000129245,ENSMUST00000245980,-0.0401460155844688,0.0103658856369417,-1; 02; 03; 04; 05; 06,09; 11; 12,0.441388096882482,0.165928620538443,ENSMUST00000129245,ENSMUST00000245980,0
ENSMUSG00000021268,Meg3,ENSMUST00000246047,ENSMUST00000246427,-0.0395678579807281,0.0115217612792642,02; 04; 05; 06,11; 12,0.362875040180108,0.289604683343157,ENSMUST00000246047,ENSMUST00000246427,ENSMUSG00000021268___ENSMUST00000246047___ENSMUST00000246427,ENSMUST00000246047,ENSMUST00000246427,-0.0395678579807281,0.0115217612792642,-1; 02; 03; 04; 05; 06,09; 11; 12,0.443965487686742,0.164366916947638,ENSMUST00000246047,ENSMUST00000246427,0
ENSMUSG00000021268,Meg3,ENSMUST00000246047,ENSMUST00000246700,-0.0391834117472172,0.0123523471575078,02; 04; 05; 06,11; 12,0.362482145145474,0.288256035277196,ENSMUST00000246047,ENSMUST00000246700,ENSMUSG00000021268___ENSMUST00000246047___ENSMUST00000246700,ENSMUST00000246047,ENSMUST00000246700,-0.0391834117472172,0.0123523471575078,-1; 02; 03; 04; 05; 06,09; 11; 12,0.443795894609693,0.172410965047342,ENSMUST00000246047,ENSMUST00000246700,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000247194,-0.0390765070915222,0.0125925437393224,02; 04; 05; 06,11; 12,0.324859276109988,0.285109184432817,ENSMUST00000129245,ENSMUST00000247194,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000247194,ENSMUST00000129245,ENSMUST00000247194,-0.0390765070915222,0.0125925437393224,-1; 03; 04; 05; 06,09; 11; 12,0.439507185354538,0.170176433096729,ENSMUST00000129245,ENSMUST00000247194,0
ENSMUSG00000021268,Meg3,ENSMUST00000143836,ENSMUST00000246047,-0.0390331707894802,0.0126910849797695,11; 12,02; 04; 05; 06,0.282883292604753,0.361814615208502,ENSMUST00000143836,ENSMUST00000246047,ENSMUSG00000021268___ENSMUST00000143836___ENSMUST00000246047,ENSMUST00000143836,ENSMUST00000246047,-0.0390331707894802,0.0126910849797695,09; 11; 12,-1; 02; 03; 04; 05; 06,0.166802442281811,0.443498842026509,ENSMUST00000143836,ENSMUST00000246047,0
ENSMUSG00000021268,Meg3,ENSMUST00000245980,ENSMUST00000246047,-0.0386469401419163,0.013599910601874,11; 12,02; 04; 05; 06,0.283081206070924,0.363692470141363,ENSMUST00000245980,ENSMUST00000246047,ENSMUSG00000021268___ENSMUST00000245980___ENSMUST00000246047,ENSMUST00000245980,ENSMUST00000246047,-0.0386469401419163,0.013599910601874,09; 11; 12,-1; 02; 03; 04; 05; 06,0.166735845065729,0.444351619393404,ENSMUST00000245980,ENSMUST00000246047,0
