"Gene_ID","Gene_Name","Transcript_A","Transcript_B","COEX_Score","P_Value","Enriched_Cell_Types_A","Enriched_Cell_Types_B","Max_Contrast_A","Max_Contrast_B"
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000246154",-0.0330773256719112,0.0346836000219552,"-1; 02; 03; 04; 05; 06","09; 11; 12",0.43544851833193,0.15245357247266
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000243937",-0.0325118079781532,0.0379009686305604,"-1; 02; 03; 04; 05; 06","09; 11; 12",0.43476476878505,0.143213989925642
"ENSMUSG00000021268","Meg3","ENSMUST00000243087","ENSMUST00000246047",-0.0324691124260426,0.03815386024795,"09; 11; 12","-1; 02; 03; 04; 05; 06",0.149538667425474,0.438571144815019
"ENSMUSG00000060314","Zfp941","ENSMUST00000080651","ENSMUST00000106052",-0.0323697216808796,0.0387481280680371,"12","04; 09",0.0775461209734968,0.0708019569950406
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000143847",-0.0321921743452549,0.0398292808515676,"-1; 02; 03; 04; 05; 06","09; 11; 12",0.43456061469623,0.15533477662972
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000247320",-0.0321921743452549,0.0398292808515676,"-1; 02; 03; 04; 05; 06","09; 11; 12",0.43456061469623,0.15533477662972
"ENSMUSG00000021268","Meg3","ENSMUST00000126289","ENSMUST00000129245",-0.0320291556417942,0.040844398341674,"09; 11; 12","-1; 02; 03; 04; 05; 06",0.149338488679801,0.434763949915188
"ENSMUSG00000021268","Meg3","ENSMUST00000246047","ENSMUST00000246154",-0.031967468559742,0.0412342006843439,"-1; 02; 03; 04; 05; 06","09; 11; 12",0.438412040842852,0.153260796999945
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000247335",-0.031869862228632,0.0418574135971758,"-1; 02; 03; 04; 05; 06","09; 11; 12",0.434354716386914,0.158228652056678
"ENSMUSG00000021268","Meg3","ENSMUST00000243937","ENSMUST00000246047",-0.0314670130610466,0.0445146003137914,"09; 11; 12","-1; 02; 03; 04; 05; 06",0.144021214452928,0.437728291295971
"ENSMUSG00000021268","Meg3","ENSMUST00000143847","ENSMUST00000246047",-0.0311578828841448,0.046648894458927,"09; 11; 12","-1; 02; 03; 04; 05; 06",0.156142001157006,0.437524137207152
"ENSMUSG00000021268","Meg3","ENSMUST00000246047","ENSMUST00000247320",-0.0311578828841448,0.046648894458927,"-1; 02; 03; 04; 05; 06","09; 11; 12",0.437524137207152,0.156142001157006
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000246462",-0.0310662649571896,0.0472977495233195,"-1; 02; 03; 04; 05; 06","09; 11; 12",0.434124359218572,0.16123596054881
"ENSMUSG00000021268","Meg3","ENSMUST00000126289","ENSMUST00000246047",-0.0309557411819696,0.0480905838864599,"09; 11; 12","-1; 02; 03; 04; 05; 06",0.150145713207087,0.437727472426109
"ENSMUSG00000021268","Meg3","ENSMUST00000243087","ENSMUST00000247243",-0.0308505464345217,0.0488555331795325,"11; 12","-1; 14",0.0802843375472584,0.0614411391797287
"ENSMUSG00000021268","Meg3","ENSMUST00000246047","ENSMUST00000247335",-0.0308461673557758,0.0488875969170399,"-1; 02; 03; 04; 05; 06","09; 11; 12",0.437318238897835,0.159035876583963
