Gene_ID,Gene_Name,Transcript_A,Transcript_B,COEX_Score,P_Value,Enriched_Cell_Types_A,Enriched_Cell_Types_B,Max_Contrast_A,Max_Contrast_B,Tr_min,Tr_max,DTU_ID
ENSMUSG00000063511,Snrnp70,ENSMUST00000074575,ENSMUST00000211178,-0.0423766262829304,0.0068138738638298,03,14,0.063756286236831,0.0629676853191098,ENSMUST00000074575,ENSMUST00000211178,ENSMUSG00000063511___ENSMUST00000074575___ENSMUST00000211178
ENSMUSG00000028176,Lrrc7,ENSMUST00000197866,ENSMUST00000198284,-0.0404111556708813,0.00987120993193376,05,08,0.063400318464581,0.0638809595789138,ENSMUST00000197866,ENSMUST00000198284,ENSMUSG00000028176___ENSMUST00000197866___ENSMUST00000198284
ENSMUSG00000060314,Zfp941,ENSMUST00000080651,ENSMUST00000106052,-0.0323697216808796,0.038748128068037103,12,04,0.0775461209734968,0.0708019569950406,ENSMUST00000080651,ENSMUST00000106052,ENSMUSG00000060314___ENSMUST00000080651___ENSMUST00000106052
ENSMUSG00000021268,Meg3,ENSMUST00000243087,ENSMUST00000247243,-0.0308505464345217,0.0488555331795325,12,-1,0.0802843375472584,0.0614411391797287,ENSMUST00000243087,ENSMUST00000247243,ENSMUSG00000021268___ENSMUST00000243087___ENSMUST00000247243
